Year,Week,Day,Date,,Winner/tie,H,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
2008,1,Sun,September 7,boxscore,Atlanta Falcons,H,Detroit Lions,34,21,474,0,316,1,Atlanta Falcons,11,5,0,0.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,10,Atlanta Falcons,16,391,5779,1011,5.7,21,10,313,265,434,3336,16,11,7.4,157,560,2443,23,4.4,131,71,591,25,39.7,10.3,88.17,14,Atlanta Falcons,16,265,434,61.1,3336,16,3.7,11,2.5,70,7.9,7.5,13,208.5,87.7,,17,104,7.4,7,3.8,2,4,100.79,2,Atlanta Falcons,16,560,2443,23,70,4.4,152.7,18,-11.66,17,Atlanta Falcons,16,43,379,1,61,8.8,59,1408,0,92,23.9,7665,18,Atlanta Falcons,16,,,11,11,8,7,10,10,2,1,31,29,93.5%,42,42,100.0%,65,2647,60,2,40.7,10,Atlanta Falcons,16,23,16,1,,1,2,,43,1,1,42,42,29,31,1,391,24.4,24,Atlanta Falcons,16,174,1042,39.7,10.3,6,33.1,Own 30.6,2:52,2.11,Detroit Lions,0,16,0,0,268,517,-249,-15.6,2.5,-13.1,-4,-9.1,27,Detroit Lions,16,268,4292,913,4.7,29,10,234,281,509,2960,18,19,5.3,143,352,1332,10,3.8,70,88,729,21,26.2,15,-115.77,24,Detroit Lions,16,281,509,55.2,2960,18,3.5,19,3.7,96,6.5,5.5,11.7,185,71.3,,52,339,5.3,4.4,9.3,,,-95.3,30,Detroit Lions,16,352,1332,10,50,3.8,83.3,31,-15.8,14,Detroit Lions,16,21,168,0,27,8,83,1807,0,46,21.8,6669,19,Detroit Lions,16,,,3,3,5,4,6,6,8,8,22,21,95.5%,26,25,96.2%,90,3952,66,0,43.9,27,Detroit Lions,16,10,18,,,1,,,29,2,3,25,26,21,22,1,268,16.8,12,Detroit Lions,16,187,936,26.2,15,5,22.9,Own 27.9,2:19,1.39
2008,1,Sun,September 7,boxscore,Tennessee Titans,H,Jacksonville Jaguars,17,10,309,2,189,3,Tennessee Titans,13,3,0,0.813,375,234,141,8.8,0.1,8.9,1.5,7.5,14,Tennessee Titans,16,375,5018,973,5.2,17,8,268,265,453,2819,13,9,6.1,143,508,2199,24,4.3,108,108,855,17,34.6,8.9,-3.38,27,Tennessee Titans,16,265,453,58.5,2819,13,2.9,9,2,56,6.4,6.1,11,176.2,78.8,,12,83,6.1,5.8,2.6,1,3,46.24,7,Tennessee Titans,16,508,2199,24,80,4.3,137.4,18,-44.24,31,Tennessee Titans,16,34,329,0,44,9.7,52,1319,0,52,25.4,6731,3,Tennessee Titans,16,,,6,6,7,7,19,15,1,1,33,29,87.9%,40,40,100.0%,87,3725,75,0,42.8,14,Tennessee Titans,16,24,13,,,,3,1,41,1,1,40,40,29,33,,375,23.4,5,Tennessee Titans,16,191,1006,34.6,8.9,5.3,26.1,Own 32.4,2:27,1.81,Jacksonville Jaguars,5,11,0,0.313,302,367,-65,-4.1,1.6,-2.5,-2.1,-0.4,24,Jacksonville Jaguars,16,302,5106,1005,5.1,24,11,312,335,537,3332,15,13,5.8,183,426,1774,17,4.2,107,104,813,22,29.7,12.8,10.38,15,Jacksonville Jaguars,16,335,537,62.4,3332,15,2.8,13,2.4,41,6.7,6.2,10.8,208.3,81.4,,42,288,5.8,5.3,7.3,3,3,6.62,18,Jacksonville Jaguars,16,426,1774,17,46,4.2,110.9,23,9.18,15,Jacksonville Jaguars,16,29,275,0,38,9.5,74,1678,0,51,22.7,7418,29,Jacksonville Jaguars,16,,,7,7,6,3,7,5,5,4,25,19,76.0%,33,33,100.0%,67,2904,60,0,43.3,24,Jacksonville Jaguars,16,17,15,,,1,2,,35,,2,33,33,19,25,1,302,18.9,28,Jacksonville Jaguars,16,172,1030,29.7,12.8,6,29.7,Own 27.3,2:56,1.63
2008,1,Sun,September 7,boxscore,New England Patriots,H,Kansas City Chiefs,17,10,338,2,284,1,New England Patriots,11,5,0,0.688,410,309,101,6.3,-2.4,3.9,2.3,1.6,8,New England Patriots,16,410,5847,1095,5.3,21,10,356,339,534,3569,21,11,6.1,186,513,2278,21,4.4,145,57,501,25,44.8,11.5,116.71,12,New England Patriots,16,339,534,63.5,3569,21,3.9,11,2.1,76,7.1,7,11.2,223.1,89.1,,48,221,6.1,6,8.2,2,2,70.3,6,New England Patriots,16,513,2278,21,49,4.4,142.4,17,46.77,20,New England Patriots,16,36,371,0,44,10.3,62,1562,1,95,25.2,7992,24,New England Patriots,16,,,12,10,16,16,11,9,1,1,40,36,90.0%,40,40,100.0%,50,2200,70,0,44,8,New England Patriots,16,21,21,,1,,,,43,2,3,40,40,36,40,,410,25.6,26,New England Patriots,16,174,1135,44.8,11.5,6.5,33.5,Own 33.3,2:59,2.31,Kansas City Chiefs,2,14,0,0.125,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3,26,Kansas City Chiefs,16,291,4939,957,5.2,24,8,273,310,541,3129,23,16,5.4,161,379,1810,9,4.8,94,78,645,18,27,12.4,-34.93,20,Kansas City Chiefs,16,310,541,57.3,3129,23,4.3,16,3,75,6.2,5.7,10.8,195.6,77.5,,37,229,5.4,5,6.4,0,1,-17.45,16,Kansas City Chiefs,16,379,1810,9,65,4.8,113.1,20,-8.7,9,Kansas City Chiefs,16,26,169,0,32,6.5,80,1716,0,59,21.5,7160,20,Kansas City Chiefs,16,,,9,9,7,4,4,3,2,,22,16,72.7%,31,31,100.0%,82,3622,73,0,44.2,26,Kansas City Chiefs,16,9,23,,,1,2,,35,1,4,31,31,16,22,,291,18.2,19,Kansas City Chiefs,16,178,979,27,12.4,5.5,27.6,Own 27.8,2:31,1.53
2008,1,Sun,September 7,boxscore,New York Jets,A,Miami Dolphins,20,14,293,1,277,1,New York Jets,9,7,0,0.563,405,356,49,3.1,-2.8,0.2,2.2,-1.9,9,New York Jets,16,405,5307,981,5.4,31,8,308,347,529,3303,22,23,5.9,186,422,2004,20,4.7,94,77,569,28,37.3,16.9,27.89,16,New York Jets,16,347,529,65.6,3303,22,4.2,23,4.3,56,6.6,5.5,10.1,206.4,80.2,,30,213,5.9,4.8,5.4,1,2,29.53,9,New York Jets,16,422,2004,20,61,4.7,125.3,22,11.48,26,New York Jets,16,29,303,0,37,10.4,61,1407,1,94,23.1,7269,27,New York Jets,16,,,9,9,13,9,5,4,2,2,29,24,82.8%,41,41,100.0%,59,2533,61,1,42.9,9,New York Jets,16,20,22,,1,2,3,,48,2,6,41,41,24,29,,405,25.3,21,New York Jets,16,177,1010,37.3,16.9,5.7,29.8,Own 31.4,2:49,2.07,Miami Dolphins,11,5,0,0.688,345,317,28,1.8,-2.3,-0.5,-2.4,1.8,21,Miami Dolphins,16,345,5529,965,5.7,13,6,308,330,491,3632,20,7,7,184,448,1897,18,4.2,111,81,669,13,33.9,6.9,63.42,10,Miami Dolphins,16,330,491,67.2,3632,20,4.1,7,1.4,80,7.7,7.8,11.4,227,97.6,,26,129,7,7.2,5,1,2,95.66,11,Miami Dolphins,16,448,1897,18,62,4.2,118.6,18,-25.91,29,Miami Dolphins,16,28,285,0,27,10.2,60,1213,0,60,20.2,7140,16,Miami Dolphins,16,,,4,4,7,7,13,9,1,1,25,21,84.0%,40,40,100.0%,74,3249,71,0,43.9,21,Miami Dolphins,16,18,20,,,,2,,40,,0,40,40,21,25,1,345,21.6,25,Miami Dolphins,16,174,990,33.9,6.9,5.7,31.6,Own 29.2,2:51,1.89
2008,1,Mon,September 8,boxscore,Denver Broncos,A,Oakland Raiders,41,14,441,0,307,1,Denver Broncos,8,8,0,0.5,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,16,Denver Broncos,16,370,6333,1019,6.2,30,12,354,386,620,4471,25,18,7.1,223,387,1862,15,4.8,103,77,739,28,38.9,17.4,122.17,3,Denver Broncos,16,386,620,62.3,4471,25,4,18,2.9,93,7.3,6.8,11.8,279.4,85.9,,12,74,7.1,6.6,1.9,3,4,123.98,12,Denver Broncos,16,387,1862,15,71,4.8,116.4,18,5.37,25,Denver Broncos,16,20,196,0,36,9.8,71,1550,0,95,21.8,8199,32,Denver Broncos,16,,,8,7,9,8,11,5,6,5,34,25,73.5%,40,39,97.5%,46,2150,64,0,46.7,16,Denver Broncos,16,15,25,,,2,,,42,2,2,39,40,25,34,,370,23.1,31,Denver Broncos,16,167,1053,38.9,17.4,6.3,37.9,Own 26.0,2:45,2.13,Oakland Raiders,5,11,0,0.313,263,388,-125,-7.8,0.3,-7.5,-6.5,-1,29,Oakland Raiders,16,263,4356,919,4.7,23,12,225,222,421,2369,13,11,5.2,123,459,1987,9,4.3,87,109,823,15,24.6,11.8,-140.18,32,Oakland Raiders,16,222,421,52.7,2369,13,3.1,11,2.6,84,6.3,5.7,11.9,148.1,71.6,,39,270,5.2,4.6,8.5,1,2,-75.25,10,Oakland Raiders,16,459,1987,9,67,4.3,124.2,28,-44.99,1,Oakland Raiders,16,44,570,3,93,13,78,1777,2,92,22.8,6923,10,Oakland Raiders,16,,,11,11,8,8,4,2,7,3,30,24,80.0%,26,25,96.2%,90,4391,70,0,48.8,29,Oakland Raiders,16,9,13,3,2,,,,27,,1,25,26,24,30,2,263,16.4,11,Oakland Raiders,16,187,949,24.6,11.8,5.1,23,Own 30.3,2:26,1.21
2008,1,Mon,September 8,boxscore,Green Bay Packers,H,Minnesota Vikings,24,19,317,0,355,1,Green Bay Packers,6,10,0,0.375,419,380,39,2.4,0.5,2.9,4.1,-1.2,5,Green Bay Packers,16,419,5618,1012,5.6,21,8,299,343,541,3813,28,13,6.6,182,437,1805,11,4.1,99,110,984,18,36.9,11.2,64.12,8,Green Bay Packers,16,343,541,63.4,3813,28,5.2,13,2.4,71,7.5,7.4,11.8,238.3,93.3,,34,231,6.6,6.6,5.9,1,2,82.1,17,Green Bay Packers,16,437,1805,11,73,4.1,112.8,25,-15.98,10,Green Bay Packers,16,37,398,2,76,10.8,69,1387,0,45,20.1,7641,11,Green Bay Packers,16,1,1,8,8,13,10,6,5,6,3,34,27,79.4%,46,46,100.0%,65,2688,65,0,41.4,5,Green Bay Packers,16,11,28,2,,1,6,,48,2,2,46,46,27,34,,419,26.2,15,Green Bay Packers,16,179,1045,36.9,11.2,5.8,31.2,Own 28.2,2:50,1.98,Minnesota Vikings,10,6,0,0.625,379,333,46,2.9,1.2,4,1.1,2.9,12,Minnesota Vikings,16,379,5288,1014,5.2,31,14,292,267,452,2956,22,17,6,150,519,2332,15,4.5,119,90,692,23,34.7,14.7,-36.35,25,Minnesota Vikings,16,267,452,59.1,2956,22,4.9,17,3.8,99,7.1,6.4,12,184.8,81.5,,43,261,6,5.3,8.7,5,5,0.43,5,Minnesota Vikings,16,519,2332,15,67,4.5,145.8,31,-25.28,21,Minnesota Vikings,16,34,273,1,82,8,61,1369,0,49,22.4,7262,7,Minnesota Vikings,16,,,10,10,9,7,9,6,6,6,34,29,85.3%,40,40,100.0%,74,3521,62,1,47.6,12,Minnesota Vikings,16,15,22,1,,2,,1,41,,1,40,40,29,34,3,379,23.7,6,Minnesota Vikings,16,190,1048,34.7,14.7,5.5,27.7,Own 29.3,2:38,1.82
2008,2,Sun,September 14,boxscore,Oakland Raiders,A,Kansas City Chiefs,23,8,355,2,190,2,Oakland Raiders,5,11,0,0.313,263,388,-125,-7.8,0.3,-7.5,-6.5,-1,29,Oakland Raiders,16,263,4356,919,4.7,23,12,225,222,421,2369,13,11,5.2,123,459,1987,9,4.3,87,109,823,15,24.6,11.8,-140.18,32,Oakland Raiders,16,222,421,52.7,2369,13,3.1,11,2.6,84,6.3,5.7,11.9,148.1,71.6,,39,270,5.2,4.6,8.5,1,2,-75.25,10,Oakland Raiders,16,459,1987,9,67,4.3,124.2,28,-44.99,1,Oakland Raiders,16,44,570,3,93,13,78,1777,2,92,22.8,6923,10,Oakland Raiders,16,,,11,11,8,8,4,2,7,3,30,24,80.0%,26,25,96.2%,90,4391,70,0,48.8,29,Oakland Raiders,16,9,13,3,2,,,,27,,1,25,26,24,30,2,263,16.4,11,Oakland Raiders,16,187,949,24.6,11.8,5.1,23,Own 30.3,2:26,1.21,Kansas City Chiefs,2,14,0,0.125,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3,26,Kansas City Chiefs,16,291,4939,957,5.2,24,8,273,310,541,3129,23,16,5.4,161,379,1810,9,4.8,94,78,645,18,27,12.4,-34.93,20,Kansas City Chiefs,16,310,541,57.3,3129,23,4.3,16,3,75,6.2,5.7,10.8,195.6,77.5,,37,229,5.4,5,6.4,0,1,-17.45,16,Kansas City Chiefs,16,379,1810,9,65,4.8,113.1,20,-8.7,9,Kansas City Chiefs,16,26,169,0,32,6.5,80,1716,0,59,21.5,7160,20,Kansas City Chiefs,16,,,9,9,7,4,4,3,2,,22,16,72.7%,31,31,100.0%,82,3622,73,0,44.2,26,Kansas City Chiefs,16,9,23,,,1,2,,35,1,4,31,31,16,22,,291,18.2,19,Kansas City Chiefs,16,178,979,27,12.4,5.5,27.6,Own 27.8,2:31,1.53
2008,2,Sun,September 14,boxscore,Denver Broncos,H,San Diego Chargers,39,38,486,1,456,1,Denver Broncos,8,8,0,0.5,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,16,Denver Broncos,16,370,6333,1019,6.2,30,12,354,386,620,4471,25,18,7.1,223,387,1862,15,4.8,103,77,739,28,38.9,17.4,122.17,3,Denver Broncos,16,386,620,62.3,4471,25,4,18,2.9,93,7.3,6.8,11.8,279.4,85.9,,12,74,7.1,6.6,1.9,3,4,123.98,12,Denver Broncos,16,387,1862,15,71,4.8,116.4,18,5.37,25,Denver Broncos,16,20,196,0,36,9.8,71,1550,0,95,21.8,8199,32,Denver Broncos,16,,,8,7,9,8,11,5,6,5,34,25,73.5%,40,39,97.5%,46,2150,64,0,46.7,16,Denver Broncos,16,15,25,,,2,,,42,2,2,39,40,25,34,,370,23.1,31,Denver Broncos,16,167,1053,38.9,17.4,6.3,37.9,Own 26.0,2:45,2.13,San Diego Chargers,8,8,0,0.5,439,347,92,5.8,-0.8,5,5,0,2,San Diego Chargers,16,439,5584,924,6,20,9,301,312,478,3858,34,11,7.7,191,421,1726,13,4.1,92,95,748,18,43.5,10.6,131.3,7,San Diego Chargers,16,312,478,65.3,3858,34,7.1,11,2.3,67,8.4,8.8,12.8,241.1,105.5,,25,151,7.7,8,5,4,5,142.09,20,San Diego Chargers,16,421,1726,13,45,4.1,107.9,18,0.02,28,San Diego Chargers,16,26,269,0,43,10.3,62,1485,1,103,24,7591,28,San Diego Chargers,16,,,13,13,10,10,8,3,1,1,32,27,84.4%,46,46,100.0%,51,2332,67,0,45.7,2,San Diego Chargers,16,13,34,,1,1,2,,51,2,5,46,46,27,32,1,439,27.4,30,San Diego Chargers,16,170,956,43.5,10.6,5.6,32.8,Own 30.6,2:43,2.41
2008,2,Sun,September 14,boxscore,Tampa Bay Buccaneers,H,Atlanta Falcons,24,9,311,1,234,2,Tampa Bay Buccaneers,9,7,0,0.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9,19,Tampa Bay Buccaneers,16,361,5456,1045,5.2,26,13,298,355,562,3619,18,13,6.1,184,451,1837,13,4.1,100,95,834,14,33.3,12.7,-27.62,11,Tampa Bay Buccaneers,16,355,562,63.2,3619,18,3.2,13,2.3,71,6.7,6.3,10.7,226.2,83.8,,32,169,6.1,5.7,5.4,3,5,11.21,15,Tampa Bay Buccaneers,16,451,1837,13,68,4.1,114.8,21,-28.96,8,Tampa Bay Buccaneers,16,47,440,1,70,9.4,60,1486,1,97,24.8,7581,6,Tampa Bay Buccaneers,16,,,12,12,15,15,8,5,3,,38,32,84.2%,36,35,97.2%,77,3426,64,0,44.5,19,Tampa Bay Buccaneers,16,13,18,1,1,1,3,1,38,1,2,35,36,32,38,,361,22.6,10,Tampa Bay Buccaneers,16,189,1083,33.3,12.7,5.7,28.8,Own 32.4,2:43,1.66,Atlanta Falcons,11,5,0,0.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,10,Atlanta Falcons,16,391,5779,1011,5.7,21,10,313,265,434,3336,16,11,7.4,157,560,2443,23,4.4,131,71,591,25,39.7,10.3,88.17,14,Atlanta Falcons,16,265,434,61.1,3336,16,3.7,11,2.5,70,7.9,7.5,13,208.5,87.7,,17,104,7.4,7,3.8,2,4,100.79,2,Atlanta Falcons,16,560,2443,23,70,4.4,152.7,18,-11.66,17,Atlanta Falcons,16,43,379,1,61,8.8,59,1408,0,92,23.9,7665,18,Atlanta Falcons,16,,,11,11,8,7,10,10,2,1,31,29,93.5%,42,42,100.0%,65,2647,60,2,40.7,10,Atlanta Falcons,16,23,16,1,,1,2,,43,1,1,42,42,29,31,1,391,24.4,24,Atlanta Falcons,16,174,1042,39.7,10.3,6,33.1,Own 30.6,2:52,2.11
2008,2,Sun,September 14,boxscore,Washington Redskins,H,New Orleans Saints,29,24,455,1,250,3,Washington Redskins,8,8,0,0.5,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1,28,Washington Redskins,16,265,5120,1026,5,18,12,295,318,510,3025,14,6,5.5,165,478,2095,12,4.4,109,83,644,21,29.2,9.6,-23.62,23,Washington Redskins,16,318,510,62.4,3025,14,2.7,6,1.2,67,6.5,6.5,10.3,189.1,85.2,,38,266,5.5,5.5,6.9,1,3,2.55,8,Washington Redskins,16,478,2095,12,31,4.4,130.9,20,-13.52,18,Washington Redskins,16,45,378,1,80,8.4,55,1382,0,87,25.1,7160,14,Washington Redskins,16,,,7,7,9,7,16,11,4,1,36,26,72.2%,25,25,100.0%,82,3362,62,1,41,28,Washington Redskins,16,12,14,1,,,,,27,,2,25,25,26,36,,265,16.6,18,Washington Redskins,16,178,1062,29.2,9.6,6,28.7,Own 31.8,2:50,1.46,New Orleans Saints,8,8,0,0.5,463,393,70,4.4,-0.3,4,6.8,-2.8,1,New Orleans Saints,16,463,6571,1047,6.3,26,8,354,413,636,4977,34,18,7.7,232,398,1594,20,4,103,86,797,19,42.7,14,159.5,1,New Orleans Saints,16,413,636,64.9,4977,34,5.3,18,2.8,84,8,7.8,12.3,311.1,95.4,,13,92,7.7,7.5,2,2,2,174.21,28,New Orleans Saints,16,398,1594,20,43,4,99.6,18,-6.46,30,New Orleans Saints,16,26,310,3,71,11.9,62,1496,0,88,24.1,8448,21,New Orleans Saints,16,,,6,6,9,8,10,7,2,1,27,22,81.5%,54,53,98.1%,53,2364,70,0,44.6,1,New Orleans Saints,16,20,34,3,,,,,57,,3,53,54,22,27,1,463,28.9,17,New Orleans Saints,16,178,1074,42.7,14,6,36.7,Own 29.9,2:44,2.49
2008,2,Sun,September 14,boxscore,New York Giants,A,St. Louis Rams,41,13,441,0,201,1,New York Giants,12,4,0,0.75,427,294,133,8.3,0.1,8.4,5.5,2.8,3,New York Giants,16,427,5695,1021,5.6,13,3,338,298,491,3177,23,10,6.1,176,502,2518,19,5,130,102,821,32,43.8,7.3,91.08,18,New York Giants,16,298,491,60.7,3177,23,4.7,10,2,48,6.8,6.8,11.3,198.6,88.2,,28,176,6.1,6.1,5.4,3,3,64.69,1,New York Giants,16,502,2518,19,77,5,157.4,18,32.2,22,New York Giants,16,39,337,0,50,8.6,55,1284,0,83,23.3,7504,13,New York Giants,16,1,1,15,15,15,14,7,5,1,1,39,36,92.3%,41,41,100.0%,64,2814,61,0,44,3,New York Giants,16,19,23,,,,2,1,45,1,2,41,41,36,39,3,427,26.7,16,New York Giants,16,178,1060,43.8,7.3,6,32,Own 32.3,3:00,2.26,St. Louis Rams,2,14,0,0.125,232,465,-233,-14.6,-0.5,-15.1,-8.1,-7,30,St. Louis Rams,16,232,4596,982,4.7,31,12,249,292,520,2947,11,19,5.2,140,417,1649,8,4,95,97,718,14,26.3,16.3,-174.37,26,St. Louis Rams,16,292,520,56.2,2947,11,2.1,19,3.7,80,6.3,5.1,11.2,184.2,66.9,,45,321,5.2,4.1,8,1,1,-118.3,25,St. Louis Rams,16,417,1649,8,56,4,103.1,18,-44.03,5,St. Louis Rams,16,29,245,0,34,8.4,80,1761,0,75,22,6997,17,St. Louis Rams,16,,,8,8,7,7,13,10,8,6,36,31,86.1%,19,19,100.0%,83,4120,68,0,49.6,30,St. Louis Rams,16,8,11,,,1,,,20,,1,19,19,31,36,,232,14.5,9,St. Louis Rams,16,190,1018,26.3,16.3,5.4,24.2,Own 27.2,2:29,1.19
2008,2,Sun,September 14,boxscore,San Francisco 49ers,A,Seattle Seahawks,33,30,365,1,351,3,San Francisco 49ers,7,9,0,0.438,339,381,-42,-2.6,-2.7,-5.3,-2.9,-2.4,22,San Francisco 49ers,16,339,4978,961,5.2,35,16,287,309,509,3379,21,19,6,176,397,1599,10,4,83,98,732,28,33,18.4,-41.51,13,San Francisco 49ers,16,309,509,60.7,3379,21,4.1,19,3.7,63,7.3,6.5,12.1,211.2,81.4,,55,345,6,5.2,9.8,3,4,-7.21,27,San Francisco 49ers,16,397,1599,10,41,4,99.9,36,-31.66,11,San Francisco 49ers,16,29,298,0,45,10.3,76,1767,1,104,23.3,7377,22,San Francisco 49ers,16,,,9,9,10,10,11,8,3,2,33,29,87.9%,34,34,100.0%,67,3203,82,1,47.8,22,San Francisco 49ers,16,10,21,,1,1,1,2,36,1,2,34,34,29,33,,339,21.2,14,San Francisco 49ers,16,185,994,33,18.4,5.4,26.7,Own 29.2,2:33,1.68,Seattle Seahawks,4,12,0,0.25,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8,25,Seattle Seahawks,16,294,4385,927,4.7,27,12,265,262,474,2617,18,15,5.1,142,417,1768,10,4.2,104,79,601,19,29.5,13.6,-51.6,29,Seattle Seahawks,16,262,474,55.3,2617,18,3.8,15,3.2,90,6,5.3,10.8,163.6,72.5,,36,214,5.1,4.5,7.1,1,1,-23.06,19,Seattle Seahawks,16,417,1768,10,45,4.2,110.5,20,-12.57,4,Seattle Seahawks,16,35,353,0,30,10.1,77,1948,0,61,25.3,7019,8,Seattle Seahawks,16,,,7,7,10,9,6,5,4,3,27,24,88.9%,30,30,100.0%,90,4052,63,1,45,25,Seattle Seahawks,16,10,18,,,2,2,,32,,2,30,30,24,27,,294,18.4,23,Seattle Seahawks,16,176,955,29.5,13.6,5.4,25,Own 30.9,2:25,1.52
2008,2,Sun,September 14,boxscore,Pittsburgh Steelers,A,Cleveland Browns,10,6,281,0,208,2,Pittsburgh Steelers,12,4,0,0.75,347,223,124,7.8,2,9.8,1.6,8.2,20,Pittsburgh Steelers,16,347,4991,1015,4.9,25,10,290,303,506,3301,19,15,5.9,179,460,1690,16,3.7,93,95,812,18,32.6,12.6,-27.31,17,Pittsburgh Steelers,16,303,506,59.9,3301,19,3.8,15,3,65,7.1,6.5,11.9,206.3,81.9,,49,306,5.9,5.4,8.8,5,5,45.99,23,Pittsburgh Steelers,16,460,1690,16,34,3.7,105.6,28,-62.68,24,Pittsburgh Steelers,16,41,247,0,35,6,50,1013,0,43,20.3,6561,9,Pittsburgh Steelers,16,1,1,9,9,9,8,10,8,2,1,31,27,87.1%,37,36,97.3%,78,3107,61,0,39.8,20,Pittsburgh Steelers,16,16,19,,,1,2,,38,,1,36,37,27,31,1,347,21.7,7,Pittsburgh Steelers,16,190,1046,32.6,12.6,5.5,26.1,Own 31.1,2:40,1.72,Cleveland Browns,4,12,0,0.25,232,350,-118,-7.4,2.7,-4.6,-5.2,0.6,31,Cleveland Browns,16,232,3985,921,4.3,26,6,233,238,488,2380,11,20,4.6,127,409,1605,6,3.9,84,100,669,22,27.3,14.5,-148.88,31,Cleveland Browns,16,238,488,48.8,2380,11,2.3,20,4.1,70,5.2,3.8,10.7,148.8,54.8,,24,157,4.6,3.3,4.7,2,3,-113.59,26,Cleveland Browns,16,409,1605,6,72,3.9,100.3,17,-25.6,27,Cleveland Browns,16,30,251,0,32,8.4,58,1312,1,92,22.6,5690,26,Cleveland Browns,16,,,10,10,14,12,6,5,6,3,36,30,83.3%,18,18,100.0%,76,3443,65,0,45.3,31,Cleveland Browns,16,6,11,,1,,2,,20,2,2,18,18,30,36,,232,14.5,29,Cleveland Browns,16,172,958,27.3,14.5,5.6,23.1,Own 29.8,2:34,1.22
